block,SD,focal_daughters,focal_sons,rival_daughters,rival_sons,copies_of_SD,parent_with_SD,MotherHasSD,FatherHasSD,SD_from_mum,SD_from_dad,mum_genotype,dad_genotype,focal.male.fitness,rival.male.fitness,total,vial
3,SD-5,5,0,29,20,1,Mother,1,0,Yes,No,SD-5,wild_type,5,49,54,242
3,SD-5,1,5,0,0,0,Mother,1,0,No,No,SD-5,wild_type,6,0,6,243
3,SD-5,0,2,9,13,1,Both parents,1,1,Yes,Yes,SD-5,SD-5,2,22,24,244
3,SD-5,4,1,8,12,1,Both parents,1,1,Yes,Yes,SD-5,SD-5,5,20,25,245
3,SD-5,3,4,7,20,1,Both parents,1,1,Yes,Yes,SD-5,SD-5,7,27,34,246
3,SD-5,4,3,4,9,1,Both parents,1,1,Yes,Yes,SD-5,SD-5,7,13,20,247
3,SD-5,14,20,15,9,0,Both parents,1,1,No,No,SD-5,SD-5,34,24,58,248
3,SD-5,3,1,17,10,1,Father,0,1,No,Yes,wild_type,SD-5,4,27,31,249
3,SD-5,0,0,15,16,1,Father,0,1,No,Yes,wild_type,SD-5,0,31,31,250
3,SD-5,2,5,11,8,1,Father,0,1,No,Yes,wild_type,SD-5,7,19,26,251
3,SD-5,9,5,14,17,1,Father,0,1,No,Yes,wild_type,SD-5,14,31,45,252
3,SD-5,5,0,0,0,1,Father,0,1,No,Yes,wild_type,SD-5,5,0,5,253
3,SD-5,43,34,7,1,0,Father,0,1,No,No,wild_type,SD-5,77,8,85,254
3,SD-5,30,26,18,10,0,Father,0,1,No,No,wild_type,SD-5,56,28,84,255
3,SD-5,4,10,0,0,0,Father,0,1,No,No,wild_type,SD-5,14,0,14,256
3,No SD chromosome,35,30,8,11,0,Neither parent,0,0,No,No,wild_type,wild_type,65,19,84,257
3,No SD chromosome,24,21,0,0,0,Neither parent,0,0,No,No,wild_type,wild_type,45,0,45,258
3,No SD chromosome,21,22,5,10,0,Neither parent,0,0,No,No,wild_type,wild_type,43,15,58,259
3,No SD chromosome,2,19,3,1,0,Neither parent,0,0,No,No,wild_type,wild_type,21,4,25,260
